Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Antiguitat,Nombre_turismes
2018,1,Ciutat Vella,1,el Raval,Menys d'un any d'antiguitat,211
2018,1,Ciutat Vella,2,el Barri Gòtic,Menys d'un any d'antiguitat,125
2018,1,Ciutat Vella,3,la Barceloneta,Menys d'un any d'antiguitat,153
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Menys d'un any d'antiguitat,162
2018,2,Eixample,5,el Fort Pienc,Menys d'un any d'antiguitat,587
2018,2,Eixample,6,la Sagrada Família,Menys d'un any d'antiguitat,770
2018,2,Eixample,7,la Dreta de l'Eixample,Menys d'un any d'antiguitat,1100
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Menys d'un any d'antiguitat,760
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Menys d'un any d'antiguitat,1043
2018,2,Eixample,10,Sant Antoni,Menys d'un any d'antiguitat,503
2018,3,Sants-Montjuïc,11,el Poble Sec,Menys d'un any d'antiguitat,337
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Menys d'un any d'antiguitat,1153
2018,3,Sants-Montjuïc,13,la Marina de Port,Menys d'un any d'antiguitat,628
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,Menys d'un any d'antiguitat,155
2018,3,Sants-Montjuïc,15,Hostafrancs,Menys d'un any d'antiguitat,206
2018,3,Sants-Montjuïc,16,la Bordeta,Menys d'un any d'antiguitat,303
2018,3,Sants-Montjuïc,17,Sants - Badal,Menys d'un any d'antiguitat,365
2018,3,Sants-Montjuïc,18,Sants,Menys d'un any d'antiguitat,528
2018,4,Les Corts,19,les Corts,Menys d'un any d'antiguitat,1203
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Menys d'un any d'antiguitat,409
2018,4,Les Corts,21,Pedralbes,Menys d'un any d'antiguitat,377
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Menys d'un any d'antiguitat,107
2018,5,Sarrià-Sant Gervasi,23,Sarrià,Menys d'un any d'antiguitat,587
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,Menys d'un any d'antiguitat,416
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Menys d'un any d'antiguitat,594
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Menys d'un any d'antiguitat,1187
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Menys d'un any d'antiguitat,463
2018,6,Gràcia,28,Vallcarca i els Penitents,Menys d'un any d'antiguitat,276
2018,6,Gràcia,29,el Coll,Menys d'un any d'antiguitat,110
2018,6,Gràcia,30,la Salut,Menys d'un any d'antiguitat,224
2018,6,Gràcia,31,la Vila de Gràcia,Menys d'un any d'antiguitat,529
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Menys d'un any d'antiguitat,514
2018,7,Horta-Guinardó,33,el Baix Guinardó,Menys d'un any d'antiguitat,323
2018,7,Horta-Guinardó,34,Can Baró,Menys d'un any d'antiguitat,138
2018,7,Horta-Guinardó,35,el Guinardó,Menys d'un any d'antiguitat,512
2018,7,Horta-Guinardó,36,la Font d'en Fargues,Menys d'un any d'antiguitat,167
2018,7,Horta-Guinardó,37,el Carmel,Menys d'un any d'antiguitat,464
2018,7,Horta-Guinardó,38,la Teixonera,Menys d'un any d'antiguitat,213
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,Menys d'un any d'antiguitat,99
2018,7,Horta-Guinardó,40,Montbau,Menys d'un any d'antiguitat,81
2018,7,Horta-Guinardó,41,la Vall d'Hebron,Menys d'un any d'antiguitat,103
2018,7,Horta-Guinardó,42,la Clota,Menys d'un any d'antiguitat,11
2018,7,Horta-Guinardó,43,Horta,Menys d'un any d'antiguitat,386
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Menys d'un any d'antiguitat,346
2018,8,Nou Barris,45,Porta,Menys d'un any d'antiguitat,306
2018,8,Nou Barris,46,el Turó de la Peira,Menys d'un any d'antiguitat,172
2018,8,Nou Barris,47,Can Peguera,Menys d'un any d'antiguitat,25
2018,8,Nou Barris,48,la Guineueta,Menys d'un any d'antiguitat,240
2018,8,Nou Barris,49,Canyelles,Menys d'un any d'antiguitat,137
2018,8,Nou Barris,50,les Roquetes,Menys d'un any d'antiguitat,176
2018,8,Nou Barris,51,Verdun,Menys d'un any d'antiguitat,135
2018,8,Nou Barris,52,la Prosperitat,Menys d'un any d'antiguitat,356
2018,8,Nou Barris,53,la Trinitat Nova,Menys d'un any d'antiguitat,85
2018,8,Nou Barris,54,Torre Baró,Menys d'un any d'antiguitat,34
2018,8,Nou Barris,55,Ciutat Meridiana,Menys d'un any d'antiguitat,108
2018,8,Nou Barris,56,Vallbona,Menys d'un any d'antiguitat,20
