Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Tipus_Vehicles,Nacionalitat_propietari,Nombre
2020,1,Ciutat Vella,1,el Raval,Turismes,Nacionalitat espanyola,4336
2020,1,Ciutat Vella,1,el Raval,Turismes,Altres nacionalitats,1466
2020,1,Ciutat Vella,1,el Raval,Motos,Nacionalitat espanyola,2244
2020,1,Ciutat Vella,1,el Raval,Motos,Altres nacionalitats,866
2020,1,Ciutat Vella,1,el Raval,Ciclomotors,Nacionalitat espanyola,1566
2020,1,Ciutat Vella,1,el Raval,Ciclomotors,Altres nacionalitats,369
2020,1,Ciutat Vella,1,el Raval,Furgonetes,Nacionalitat espanyola,566
2020,1,Ciutat Vella,1,el Raval,Furgonetes,Altres nacionalitats,287
2020,1,Ciutat Vella,1,el Raval,Camions,Nacionalitat espanyola,238
2020,1,Ciutat Vella,1,el Raval,Camions,Altres nacionalitats,85
2020,1,Ciutat Vella,1,el Raval,Altres vehicles,Nacionalitat espanyola,186
2020,1,Ciutat Vella,1,el Raval,Altres vehicles,Altres nacionalitats,15
2020,1,Ciutat Vella,2,el Barri Gòtic,Turismes,Nacionalitat espanyola,4286
2020,1,Ciutat Vella,2,el Barri Gòtic,Turismes,Altres nacionalitats,603
2020,1,Ciutat Vella,2,el Barri Gòtic,Motos,Nacionalitat espanyola,3300
2020,1,Ciutat Vella,2,el Barri Gòtic,Motos,Altres nacionalitats,433
2020,1,Ciutat Vella,2,el Barri Gòtic,Ciclomotors,Nacionalitat espanyola,398
2020,1,Ciutat Vella,2,el Barri Gòtic,Ciclomotors,Altres nacionalitats,102
2020,1,Ciutat Vella,2,el Barri Gòtic,Furgonetes,Nacionalitat espanyola,1472
2020,1,Ciutat Vella,2,el Barri Gòtic,Furgonetes,Altres nacionalitats,74
2020,1,Ciutat Vella,2,el Barri Gòtic,Camions,Nacionalitat espanyola,876
2020,1,Ciutat Vella,2,el Barri Gòtic,Camions,Altres nacionalitats,15
2020,1,Ciutat Vella,2,el Barri Gòtic,Altres vehicles,Nacionalitat espanyola,357
2020,1,Ciutat Vella,2,el Barri Gòtic,Altres vehicles,Altres nacionalitats,11
2020,1,Ciutat Vella,3,la Barceloneta,Turismes,Nacionalitat espanyola,2539
2020,1,Ciutat Vella,3,la Barceloneta,Turismes,Altres nacionalitats,565
2020,1,Ciutat Vella,3,la Barceloneta,Motos,Nacionalitat espanyola,1421
2020,1,Ciutat Vella,3,la Barceloneta,Motos,Altres nacionalitats,425
2020,1,Ciutat Vella,3,la Barceloneta,Ciclomotors,Nacionalitat espanyola,397
2020,1,Ciutat Vella,3,la Barceloneta,Ciclomotors,Altres nacionalitats,88
2020,1,Ciutat Vella,3,la Barceloneta,Furgonetes,Nacionalitat espanyola,367
2020,1,Ciutat Vella,3,la Barceloneta,Furgonetes,Altres nacionalitats,71
2020,1,Ciutat Vella,3,la Barceloneta,Camions,Nacionalitat espanyola,85
2020,1,Ciutat Vella,3,la Barceloneta,Camions,Altres nacionalitats,8
2020,1,Ciutat Vella,3,la Barceloneta,Altres vehicles,Nacionalitat espanyola,86
2020,1,Ciutat Vella,3,la Barceloneta,Altres vehicles,Altres nacionalitats,8
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,Nacionalitat espanyola,3071
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,Altres nacionalitats,813
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,Nacionalitat espanyola,1983
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,Altres nacionalitats,656
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ciclomotors,Nacionalitat espanyola,4835
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ciclomotors,Altres nacionalitats,151
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Furgonetes,Nacionalitat espanyola,439
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Furgonetes,Altres nacionalitats,120
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Camions,Nacionalitat espanyola,95
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Camions,Altres nacionalitats,27
