Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Potencia_fiscal,Nombre_turismes
2020,1,Ciutat Vella,1,el Raval,Menys 8 cf,314
2020,1,Ciutat Vella,1,el Raval,"8 a 8,9",183
2020,1,Ciutat Vella,1,el Raval,"9 a 9,9",314
2020,1,Ciutat Vella,1,el Raval,"10 a 10,9",831
2020,1,Ciutat Vella,1,el Raval,"11 a 11,9",1454
2020,1,Ciutat Vella,1,el Raval,"12 a 12,9",969
2020,1,Ciutat Vella,1,el Raval,"13 a 13,9",1098
2020,1,Ciutat Vella,1,el Raval,"14 a 14,9",133
2020,1,Ciutat Vella,1,el Raval,"15 a 15,9",88
2020,1,Ciutat Vella,1,el Raval,"16 a 19,9",305
2020,1,Ciutat Vella,1,el Raval,20 i més cf,113
2020,1,Ciutat Vella,2,el Barri Gòtic,Menys 8 cf,269
2020,1,Ciutat Vella,2,el Barri Gòtic,"8 a 8,9",236
2020,1,Ciutat Vella,2,el Barri Gòtic,"9 a 9,9",537
2020,1,Ciutat Vella,2,el Barri Gòtic,"10 a 10,9",516
2020,1,Ciutat Vella,2,el Barri Gòtic,"11 a 11,9",1098
2020,1,Ciutat Vella,2,el Barri Gòtic,"12 a 12,9",509
2020,1,Ciutat Vella,2,el Barri Gòtic,"13 a 13,9",846
2020,1,Ciutat Vella,2,el Barri Gòtic,"14 a 14,9",131
2020,1,Ciutat Vella,2,el Barri Gòtic,"15 a 15,9",270
2020,1,Ciutat Vella,2,el Barri Gòtic,"16 a 19,9",364
2020,1,Ciutat Vella,2,el Barri Gòtic,20 i més cf,113
2020,1,Ciutat Vella,3,la Barceloneta,Menys 8 cf,228
2020,1,Ciutat Vella,3,la Barceloneta,"8 a 8,9",123
2020,1,Ciutat Vella,3,la Barceloneta,"9 a 9,9",199
2020,1,Ciutat Vella,3,la Barceloneta,"10 a 10,9",502
2020,1,Ciutat Vella,3,la Barceloneta,"11 a 11,9",813
2020,1,Ciutat Vella,3,la Barceloneta,"12 a 12,9",415
2020,1,Ciutat Vella,3,la Barceloneta,"13 a 13,9",532
2020,1,Ciutat Vella,3,la Barceloneta,"14 a 14,9",53
2020,1,Ciutat Vella,3,la Barceloneta,"15 a 15,9",47
2020,1,Ciutat Vella,3,la Barceloneta,"16 a 19,9",146
2020,1,Ciutat Vella,3,la Barceloneta,20 i més cf,46
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Menys 8 cf,278
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","8 a 8,9",119
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","9 a 9,9",217
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","10 a 10,9",548
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","11 a 11,9",926
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","12 a 12,9",524
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","13 a 13,9",776
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","14 a 14,9",89
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","15 a 15,9",57
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","16 a 19,9",245
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",20 i més cf,105
2020,2,Eixample,5,el Fort Pienc,Menys 8 cf,590
2020,2,Eixample,5,el Fort Pienc,"8 a 8,9",335
2020,2,Eixample,5,el Fort Pienc,"9 a 9,9",458
2020,2,Eixample,5,el Fort Pienc,"10 a 10,9",1292
2020,2,Eixample,5,el Fort Pienc,"11 a 11,9",2172
2020,2,Eixample,5,el Fort Pienc,"12 a 12,9",1005
2020,2,Eixample,5,el Fort Pienc,"13 a 13,9",1928
2020,2,Eixample,5,el Fort Pienc,"14 a 14,9",199
2020,2,Eixample,5,el Fort Pienc,"15 a 15,9",178
