Provincia	Municipio	Localidad	Código postal	Distrito	Dirección	Margen	Longitud	Latitud	Toma de datos	Precio gasolina 95 E5	Precio gasolina 95 E10	Precio gasolina 95 E5 Premium	Precio gasolina 98 E5	Precio gasolina 98 E10	Precio gasóleo A	Precio gasóleo Premium	Precio gasóleo B	Precio gasóleo C	Precio bioetanol	% bioalcohol	Precio biodiésel	% éster metílico	Precio gases licuados del petróleo	Precio gas natural comprimido	Precio gas natural licuado	Precio hidrógeno	Rótulo	Tipo venta	Rem.	Horario	Tipo servicio
BARCELONA	BARCELONA	BARCELONA	08001	Ciutat Vella	CALLE BADAJOZ, 108	D	2,193778	41,400083	26/11/2021 15:00	1,377					1,257												PETROPRIX	P	dm	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08003	Ciutat Vella	CALLE DOCTOR AIGUADER, 74	D	2,191472	41,383833	27/11/2021 00:00	1,609			1,749		1,439	1,499											REPSOL	P	OM	L-S: 07:00-14:30	L-S: 07:00-14:30 (P)
BARCELONA	BARCELONA	BARCELONA	08003	Ciutat Vella	CALLE DOCTOR AIGUADER, 50	D	2,189806	41,383556	23/11/2021 00:00															1,099			NATURGY	P	dm	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08004	Sants-Montjuïc	CALLE CALLE Y PUERTO, S/N	D	2,142278	41,327972	26/11/2021 15:00															1,050	1,050		HAM	P	dm	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08004	Sants-Montjuïc	AVINGUDA PARAL.LEL, 25	N	2,173833	41,374639	22/11/2021 10:21	1,619					1,499	1,599											ESTACION SERVICIO UBACH SA	P	dm	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08004	Sants-Montjuïc	CARRER NUMERO TRES, 50	D	2,127861	41,337250	24/11/2021 13:50	1,523			1,617		1,418	1,519	1,079										CONFORT AUTO	P	dm	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08004	Sants-Montjuïc	Pº de la Zona Franca, 221-239	N	2,136454	41,362972	26/11/2021 17:19	1,594			1,774		1,424	1,494											GALP	P	OM	L-D: 24H	L-D: 00:00-06:00 (D), 06:00-22:00 (A), 22:00-23:59 (D)
BARCELONA	BARCELONA	BARCELONA	08004	Sants-Montjuïc	CALLE A ZONA FRANCA, 3	N	2,132611	41,323750	26/11/2021 14:00	1,399			1,549		1,259	1,349	1,049										SHELL	P	OM	L-S: 05:00-23:00	L-S: 05:00-23:00 (A)
BARCELONA	BARCELONA	BARCELONA	08004	Sants-Montjuïc	CALLE CALLE Y PUERTO AUTONOMO, S/N	N	2,142667	41,327806	26/11/2021 16:46	1,474					1,374												GALP	P	OM	L-V: 06:00-22:00	L-V: 06:00-22:00 (A)
BARCELONA	BARCELONA	BARCELONA	08004	Sants-Montjuïc	CALLE B, ZONA FRANCA, 13	I	2,134861	41,331861	15/11/2021 13:52															0,979	0,924		MOLGAS	P	dm	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08004	Sants-Montjuïc	AVENIDA PARALELO, 179	I	2,154472	41,374750	27/11/2021 00:00	1,599			1,731		1,449	1,515											CEPSA	P	OM	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08005	Sant Martí	CALLE TAULAT 15 ESQUINA CIUDAD DE GRANADA, 	N	2,201083	41,396250	25/11/2021 12:00	1,475			1,609		1,359												Q8	P	dm	L-D: 24H	Sin datos
BARCELONA	BARCELONA	BARCELONA	08005	Sant Martí	AVENIDA DEL LITORAL, 49	D	2,204278	41,393111	27/11/2021 00:00	1,619		1,659	1,769		1,459	1,549							0,869				REPSOL	P	OM	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08005	Sant Martí	AVENIDA BOGATELL, 49	D	2,192944	41,392583	27/11/2021 00:00	1,609			1,749		1,449	1,529											REPSOL	P	OM	L-V: 07:00-21:00; S: 08:00-14:00	L-V: 07:00-21:00 (A); S: 08:00-14:00 (A)
BARCELONA	BARCELONA	BARCELONA	08005	Sant Martí	CALLE ROC BORONAT, 10	D	2,201667	41,397556	26/11/2021 02:15	1,379					1,259												BENZINERA POBLE NOU	P	OM	L-D: 24H	L-D: 24H (D)
BARCELONA	BARCELONA	BARCELONA	08005	Sant Martí	CALLE PUJADES, 154	D	2,198611	41,399889	22/11/2021 12:09	1,629			1,779		1,459												CAMPSA	P	dm	L-D: 06:00-20:00	L-D: 06:00-20:00 (A)
BARCELONA	BARCELONA	BARCELONA	08005	Sant Martí	PASEO CALVELL, 2	N	2,208250	41,399028	22/11/2021 15:28	1,455			1,599		1,339	1,419											SHELL VILLA OLIMPICA	P	dm	L-S: 09:00-13:00 y 17:00-21:00	L-S: 09:00-13:00 (A), 17:00-21:00 (A)
BARCELONA	BARCELONA	BARCELONA	08006	Gràcia	CALLE BALMES, 288	N	2,146806	41,401861	24/11/2021 00:01	1,639			1,769		1,469	1,539											REPSOL	P	dm	L-D: 24H	L-D: 00:00-05:59 (A), 05:59-23:59 (P)
BARCELONA	BARCELONA	BARCELONA	08011	Eixample	CALLE CASANOVA, 89	I	2,157306	41,386250	22/11/2021 12:41	1,639			1,759		1,479	1,559											CEPSA	P	dm	L-D: 24H	L-D: 24H (P)
BARCELONA	BARCELONA	BARCELONA	08011	Eixample	CASANOVA 23	N	2,161861	41,383083	24/11/2021 00:00	1,579					1,419												GRATSA	P	dm	L-D: 06:00-22:00	L-D: 06:00-22:00 (A)
BARCELONA	BARCELONA	BARCELONA	08013	Eixample	CALLE VALENCIA, 503	I	2,179722	41,405139	27/11/2021 00:00	1,619			1,769		1,449	1,539											REPSOL	P	OM	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08013	Eixample	CALLE ROGER DE FLOR, 58	D	2,180944	41,392722	27/11/2021 00:00	1,594		1,654	1,726		1,439	1,505											CEPSA	P	OM	L-D: 06:00-22:00	L-D: 06:00-22:00 (A)
BARCELONA	BARCELONA	BARCELONA	08013	Eixample	CALLE DIPUTACION, 371	D	2,175167	41,396722	27/11/2021 00:00	1,625			1,765		1,475	1,555											REPSOL	P	dm	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08014	Sants-Montjuïc	MOIANES, 34	N	2,142500	41,371944	23/11/2021 06:00	1,579			1,729		1,449	1,499											E.S.MOYANES	P	dm	L-D: 06:00-22:00	L-D: 06:00-22:00 (A)
BARCELONA	BARCELONA	BARCELONA	08014	Sants-Montjuïc	CALLE DIPUTACION, 9	D	2,148806	41,376750	27/11/2021 00:00	1,584			1,716		1,435	1,501											CEPSA	P	OM	L-V: 09:00-14:00 y 17:00-20:00	L-V: 09:00-14:00 (A), 17:00-20:00 (A)
BARCELONA	BARCELONA	BARCELONA	08015	Eixample	AVINGUDA DEL PARALELO, 132	N	2,160556	41,375278	26/11/2021 20:16	1,494			1,614		1,354	1,424											GALP	P	OM	L-D: 06:00-22:00	L-D: 06:00-22:00 (P)
BARCELONA	BARCELONA	BARCELONA	08015	Eixample	RONDA SAN PABLO, 39	D	2,165750	41,376861	26/11/2021 00:00	1,579					1,429	1,495											CEPSA	P	OM	L-V: 10:00-14:00	L-V: 10:00-14:00 (P)
BARCELONA	BARCELONA	BARCELONA	08016	Sants-Montjuïc	PASEO DOCTOR PI Y MOLIST, 110	D	2,172444	41,434667	26/11/2021 10:36	1,629			1,779		1,459	1,559											REPSOL	P	dm	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08016	Horta-Guinardó	AVENIDA RIO DE JANEIRO, 59	D	2,179639	41,433667	27/11/2021 00:00	1,609			1,759		1,439	1,499											REPSOL	P	OM	L-S: 06:00-22:00	L-S: 06:00-22:00 (A)
BARCELONA	BARCELONA	BARCELONA	08017	Sarrià-Sant Gervasi	CALLE IRADIER, S/N	N	2,122361	41,407167	26/11/2021 14:00	1,639			1,789		1,479	1,569											SHELL	P	OM	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08017	Sarrià-Sant Gervasi	AVENIDA SARRIA, 126	D	2,132500	41,392444	27/11/2021 00:00	1,619			1,769		1,459	1,549							0,899				REPSOL	P	OM	L-D: 24H	L-D: 24H (A)
BARCELONA	BARCELONA	BARCELONA	08018	Sant Martí	AVENIDA DIAGONAL, 189	N	2,193083	41,404639	22/11/2021 15:29	1,455			1,599		1,339	1,419											SHELL GLORIAS	P	dm	L-S: 07:00-22:00	L-S: 07:00-22:00 (A)
